id,lang,query,query_zh,proposed_task_type,proposed_skill,difficulty,note,trace_id,day,agent,label_task_type,label_skill,annotator
"Q021","zh","帮我设计一个影视剧记录软件界面，暗色调，底栏悬浮磨砂，方形圆角，底栏四个功能分别是追剧、日历、发现、我的，追剧上面的栏目是在看、已看、未看、弃剧，日历里面是用户自己添加的影视剧在各个平台上面的播放时间和更新集数，发现就是可以添加剧集和热门影视剧推荐，我的就是常规的设置，里面有ai设置，自定义大模型，输入影视剧信息然后帮你添加影视剧信息，封面是用户自己上传，其他信息ai整理好，，UI借鉴ios端的Forward这款网盘影视聚合软件 我是安卓手机，要的是安卓软件","","prototype","mobile-app","easy","Android, dark, floating tab bar","47f3173a523ecb600062247276e0b1541c1fbd19a0c4696cabe358dbf21091cd","2026-08-28","byok-opencode","","",""
"Q022","zh","为两个中文内容账号建立可长期复用的视频视觉合同与三镜9:16动效样板。账号A=抖音AI/Codex工作流，受众是零基础新手，叙事像真人拆解/复盘：先生活化困境和悬念，再亲自尝试，再展示证据、失败和结论；结构迁移李三千的选择题、反差和短句，但降低语速与术语密度。账号B=微信视频号哲学解决现实困惑，像朋友聊天：生活故事、反问、哲学解释、现实反方、一个动作；结构迁移姜胡说的叙事和层层拆解，但不模仿身份/声音/形象。视觉参考：YouTube知识博主缩略图与视频结构；黑白高对比，黄/红/青强调，4-10字大标题，人物或具体物件作视觉锚点，少量描边/箭头/贴纸；避免密密麻麻PPT、避免一上来干活、避免廉价AI模板感。输出 DESIGN.md，包…","","hyperframes","","hard","9:16 motion template for two accounts; truncated at 320 chars","08e2dce7a89c38cbaa0a2c48ee46eb2dda55d59159893d194e68ad073548ada9","2026-08-23","codex","","",""
"Q023","zh","生成几张小红书风格的海报 主要内容是 [姓名]老师讲A1和A2的区别，突出科普 1.必含“[姓名]老师头像+话术，头像参考图1、2、3，注意不要改变头像，人物头像旁边紧跟着的文案：""A2 型蛋白质，结构接近亲喂，也被叫做 """"亲喂同款"""" 蛋白质"" 2.同时匹配到对应的蛋白类型优缺点展示，展示中突出对比，对A1相关描述做灰色或✖️等处理，对A2相关描述做亮色和突出处理 科普内容参考：A1蛋白和A2蛋白区别 A1蛋白 A2蛋白 ""并非“亲喂同款”蛋白， 和母乳蛋白质只差一个氨基酸， 吸收力差宝宝可能较难消化"" 蛋白特性 结构接近亲喂，也被叫做 ""亲喂同款"" 蛋白质，亲和好吸收 ""A1蛋白分解过程中会产生BCM-7 会延长乳蛋白消化的时间 容易…","","image","image-instagram-carousel-cover","medium","xiaohongshu posters with reference portraits; truncated at 320 chars","da0f4319cef9a5f7b6513db2a745c09b367e914d062a1b093fdd9635a76a9772","2026-08-31","codex","","",""
"Q024","zh","帮我设计一个党政风格的知识图谱页面，直接给我生成三个版本","","prototype","","easy","three versions requested","5083f882c00a4131ad7d4b4e6853c16e3dc1d5352beb180d653d4f6a7c5b7118","2026-08-21","deepseek-harness","","",""
"Q025","zh","帮我做一个qq三国的人物，sg.qq.com 你可以在官网看官方角色是什么样的。但是我要你给我做成真人版的图片","","image","","easy","character to photoreal","df1cc0a7a2067f3654de5896bd6a692d314963e2f9d17df5fd57e445aaeece7b","2026-09-01","codex","","",""
"Q026","zh","设计一个照片重复项查看/清理界面,每次展示一组图形","","prototype","","easy","","64424ab848bb0f43c7f903ceef9060360c3e09b2fbc28c3de88272149cec351d","2026-08-20","antigravity","","",""
"Q027","zh","帮我做一个输入图片，然后进行识别的网站。仅仅是demo 就可以","","prototype","web-prototype","easy","demo site","9fdfd484624f4fa425018654858d9d257c7fd95b51d1ea7749c409f2bb02499b","2026-08-27","claude","","",""
"Q028","zh","我只想做一个八股文的内容，浓缩后的图片","","image","","medium","condensed study card image","b2d5ab01-6427-4c84-b519-bc173885ae2b","2026-08-25","byok-opencode","","",""
"Q029","zh","设计一个产品， 可以连通 本地 的 deepseek harness 创建多个角色，角色描述，角色使用场景，等等 然后有一个 agent 负责接收任务，并根据需要调用 指定的角色去做任务，每个角色任务完成后，需要有一个负责校对目标的完成情况，直到达成目标为止。 他们要有一定的学习能力，根据用户对最终结果的修改情况，学习对应的场景应该准确完成。 帮我设计下这个产品","","prototype","","hard","product concept, agents orchestration","77fa20148701afdee5640efb43db56884017b5d77fc3de454b04715d4abdae23","2026-08-30","amr","","",""
"Q030","zh","我要设计一个花园集·AI的行业智能体软件logo，主题色是绿色#83A78D，辅助色是#FF9300、#F7F6EF。上图是官网的截图，请你结合上图，帮我生成软件4-5个logo。颜色不用局限于上述颜色，可以有其他配色，避免过细线条，风格偏向智能体、行业平台突出花园行业。","","image","image-brand-character","medium","logo set, 4-5 options; brand-character is nearest","7d78c37228de0b5cc1a98ce172828bd18b8a0dac1a765d46918b72f9cba1a1c2","2026-08-31","codex","","",""
"Q031","en","Create a simple A4 cover page with the title ""AI Prompt Guide"".","做一个简单的 A4 封面页，标题是「AI Prompt Guide」。","document","","medium","A4 cover page","7c16f734856e81b5568ddb81c112fc57c57effab7d27be4de8a72444b3a27ba7","2026-08-22","antigravity","","",""
"Q032","en","make a landing page","做一个落地页","prototype","web-prototype","easy","","3f788d1e2ffacc09adbe1b73cb9f6655d1705f3cbf4d868a4ff255e492860c81","2026-08-30","amr","","",""
"Q033","en","A multi-shot video prompt in 3D animation style describing a boy carefully assembling Lego pieces in a room, featuring time-lapse effects.","一个多镜头 3D 动画风格的视频提示词：一个男孩在房间里认真拼乐高，带延时效果。","hyperframes","","hard","video prompt, not a page","05cfca82a4474d66af28066e71a527847e6602de2595b8081b78db3269487f05","2026-08-26","opencode","","",""
"Q034","en","a live agent call with floating checklist","一个带浮动清单的实时客服通话界面","prototype","","medium","","db2e6fc6-e1f5-4ede-8b9f-034b6164c646","2026-08-22","opencode","","",""
"Q035","en","make a logo for author [name]","给作者 [姓名] 做一个 logo","image","","easy","name redacted","d85a9b9179be580fe93c6b0bb989201e64277b02e07d05953968b5dd88d9c7c6","2026-08-23","codex","","",""
"Q036","en","Design a premier world-class thermal power plant environmental island & boiler digital twin telemetry and fault diagnostic expert workbench UI with dark mode tactical telemetry, ultra-clean data cards, precision monospace metrics, root cause causality tree, and real-time control console. Zero rainbow font colors, disci…","设计一个世界级的火电厂环保岛与锅炉数字孪生遥测和故障诊断专家工作台 UI，深色战术遥测风、极简数据卡、精确的等宽指标。","prototype","skill-interface-design","medium","dark tactical telemetry workbench; truncated at 320 chars","b2d331ca-062c-47c6-b748-e44ab84d5529","2026-08-31","antigravity","","",""
"Q037","en","Create a 3-page Hyperframes video deck in 8-bit retro style with advanced transitions, rich motion, and each page under 3 seconds.","用 8-bit 复古风做一个 3 页的 Hyperframes 视频 deck，带高级转场和丰富动效，每页不超过 3 秒。","hyperframes","","easy","explicit Hyperframes","8efa0db2f8fcf8f7ec4d76ea99225a3ee99a5c4cf037ae0264334d0635a6e0da","2026-08-30","antigravity","","",""
"Q038","en","Design the landing page (hero + full scroll) for LokaHosting, an Indonesian web-hosting / VPS / domain SaaS. Follow the attached bugatti design system strictly: pure #000000 canvas, monochrome only (#ffffff text, #999999 tertiary/hairlines), monumental ALL-CAPS display type at architectural scale (single-word 200px+ mo…","为 LokaHosting（印尼虚拟主机 / VPS / 域名 SaaS）设计落地页（hero 加全页滚动）。严格遵循附带的 bugatti 设计系统：纯黑画布、只用单色。","prototype","qiaomu-landing","medium","monochrome black design system given; truncated at 320 chars","bb40812c19d011fe10fe42148dc7dae4491f19659b9891798a6acb2f46f8343c","2026-08-24","deepseek-harness","","",""
"Q039","en","Create me a promotion video for my game called GHOST TRACE, make it in a computer horror look","给我的游戏 GHOST TRACE 做一个宣传视频，做成电脑恐怖风。","hyperframes","","easy","","ff0c4d63b2af294da590b1363b52745ef7b5ebc351d28694eb3480d9bf0d0b5a","2026-08-21","opencode","","",""
"Q040","en","Create a prototype for a clean, modern internal corporate dashboard (or internal webapp) that handles everything about OPA/Cedar policies + agentic AI + workload identity, and how to control all those things. Attached are screenshots of what it currently looks like. Use this as a reference but heavily improve upon it. …","做一个干净现代的企业内部仪表盘原型，管理 OPA/Cedar 策略、agentic AI 和工作负载身份，以及如何控制这些东西。附了截图。","prototype","skill-interface-design","medium","truncated at 320 chars","f582efe4061484e657bf26cc15ff655bd579c106a3f756691029a92afb2fd0b2","2026-08-30","codex","","",""
"Q041","en","create me a powerpoint slide deck that shows the differences between prompt engineering and context engineering","给我做一个 PowerPoint 幻灯片，展示 prompt engineering 和 context engineering 的区别。","ppt","","easy","","a5743855-61ee-45c6-ab44-28088bcd5c52","2026-08-24","codex","","",""
"Q042","en","A self-contained WebGL2 hero: animated water caustics woven from domain-warped ripples; click the water to drop a ripple. No meshes, no textures.","一个自包含的 WebGL2 hero：由域扭曲涟漪编织的动态水面焦散；点击水面产生涟漪。不用网格，不用贴图。","prototype","","hard","WebGL2 hero","830a6212b3709e37acf568e052294c4415efef3ac924f1b061fc739948552f1a","2026-08-26","hermes","","",""
"Q043","en","Design me two Page Report for the following it should be creative clean and presenatble make sure all content should be there","给我设计一份两页的报告，要有创意、干净、可展示，确保所有内容都在。","document","document-data-visualization-report","medium","","dbd12a7dd6963c9fb9331f483090bd967830cb9f854541592f0a2fe6e675f38d","2026-08-25","opencode","","",""
"Q044","en","design a logo for dental clinic name [name] and make it modern, comfort , trustworthy","给牙科诊所 [名称] 设计一个 logo，现代、舒适、可信赖。","image","","easy","name redacted","5a9e8b25109d1878905c949131fcf3a904ecc0363cea10e32e0ba012eb8b7abf","2026-08-26","codex","","",""
"Q045","en","Create 4 slides for a Pharmacy Union website","为一个药剂师工会网站做 4 页幻灯片","ppt","","medium","slides about a website","dcc3a180c8ca5ca37ef761b74f557ccdf2fe4617ff1e36a93e36e21488fbb76f","2026-08-31","byok-opencode","","",""
"Q046","en","Create a full design system PDF that I can give to the co-hosts and social media designers.","做一份完整的设计系统 PDF，我要发给联合主持人和社媒设计师。","document","","hard","design system as PDF","61c4bc9f696e670987488a3df62584d9858037baafb455f0a6704f48918337aa","2026-08-29","codex","","",""
"Q047","en","I want you to build me a portfolio about myself. My name is [name] so I need an animated, cool-looking website that looks good and feels good. The animated background should be greeny, like nature, with trees outside moving when I scroll down everything.","帮我做一个关于我自己的作品集。我叫 [姓名]，要一个有动画、酷炫、好看好用的网站。动态背景要绿色系，像大自然，外面有树在动。","prototype","qiaomu-portfolio","easy","name redacted","eaa8284790f135481a41bb1a05005556643f51ce4de99146b471e056c0039332","2026-08-21","byok-opencode","","",""
"Q048","en","make a cat girl image","做一张猫娘图片","image","","easy","","8da1b127ed8afb0d5f145df2e767bfa29fbf2e7ad02a0ef45bae8f1536a44a0f","2026-08-30","byok-opencode","","",""
"Q049","en","Mock up a signup flow","做一个注册流程的 mockup","prototype","qiaomu-wizard","medium","","008717b916e0296fecdd025b94878355413a4a5eb2ccfa88dfcc04ee116a013e","2026-08-31","byok-opencode","","",""
"Q050","en","a high quality picture of a kebab grill. camera pointing straight down towards the grill with coal underneath it the grill should fill up the whole frame with a dark asthetic mist colour ambience","一张高质量的烤肉架照片。相机垂直向下对着烤架，下面有炭火，烤架充满整个画面，带暗色调的雾气氛围。","image","","easy","","acdbc965477c8622ac85a4b16a602f6fde1e11290a7781c061219b64a3920af0","2026-08-24","byok-opencode","","",""
"Q051","en","Design a short intro for a landing page","给落地页设计一个简短的开场","prototype","","medium","","fd0cb07fae2bca826e5a0ccb87cec0b5b969775e4689541665873b124e67cfa3","2026-08-26","codex","","",""
"Q052","en","i want to create a gift shop website","我想做一个礼品店网站","prototype","web-prototype","easy","","7c93d71d025c3974bc03b3e6e0824d7ec4dcf3bbe3981bf73a56921d00553a72","2026-08-23","byok-opencode","","",""
"Q053","en","generate a n apple style motion graphics the sentence is the tea we had yesterday. analyse the type and identify and visualise it in beat way possible","生成一段苹果风格的动态图形，句子是「the tea we had yesterday」。分析字体，识别并用最好的方式可视化它。","hyperframes","","medium","kinetic typography","926a4ec7e227c9cf281e7adb001b856ba46d7686c92966b0748b4d760792f8e4","2026-08-21","opencode","","",""
"Q054","en","Design a high quality ui for the Diet generation page. Make it professional and highly functional. Do not use weird emojis rather use icons. There will be 7 tabs for 7 days of diets a regeneration button for particular days and also a regeneration button for every meal. You can guess other things that should be in the …","为饮食生成页面设计一个高质量 UI，专业且功能完善。不要奇怪的 emoji，用图标。7 天饮食 7 个标签页，每天有单独的重新生成按钮。","prototype","","easy","truncated at 320 chars","544c455c-b88b-487f-ba17-3ef604fea9ab","2026-08-21","antigravity","","",""
"Q055","en","design shahrukh khan siting on elephant and ad shooting of coca cola","设计沙鲁克·汗骑在大象上拍可口可乐广告的画面","image","","easy","","d56e07c2ef5f4dafff2647129d89c68134c1c85ef56ec5b7fbc9a470f61f1257","2026-08-28","amr","","",""
"Q056","en","create a invitation card of the ""Krishana Janmashtami"" in the hindi language, make it custom and creative, use the cutsom elements that represents the ""lord krishna""","做一张「Krishna Janmashtami」的邀请卡，印地语，要定制且有创意，用代表奎师那的定制元素。","image","image-event-poster","medium","invitation card","a3ed05950f7851d989448420ad051ddb6f383be3f8196d299f9c62f1fc3413cd","2026-08-21","opencode","","",""
"Q057","en","Create a small icon of Leonardo from TMNT","做一个忍者神龟里 Leonardo 的小图标","image","","easy","","ce5b9e58-2714-4f6a-ada4-77af3d058b55","2026-08-27","opencode","","",""
"Q058","en","design a plan for a landing page for an it support company","为一家 IT 支持公司设计一个落地页方案","prototype","skill-mengto-landing","medium","asks for a plan","0c707318-13c5-474f-b063-021085507fb3","2026-08-21","hermes","","",""
"Q059","en","Design a premium marketing homepage for SwiftAi. Brand name: SwiftAi. Tagline: Websites, SEO, and AI that actually grow the business. Hero: one clear headline, one subhead, and a primary CTA ""Book a call"". Services as 6 cards: Web design, SEO, GEO (AI search / ChatGPT / Perplexity / Google AI Overviews), AI automations…","为 SwiftAi 设计一个高端营销首页。品牌名 SwiftAi。标语：真正能让生意增长的网站、SEO 和 AI。Hero：一个清晰的标题、一个副标题、一个主 CTA「预约通话」。服务做成 6 张卡片。","prototype","skill-mengto-landing","easy","truncated at 320 chars","2945174e938a4a3ab47319b91e1578e6a6fc62607bd747036fd951fa30240a07","2026-08-30","grok-build","","",""
"Q060","en","A scroll-reactive masonry gallery (Three.js + GSAP) where each image develops from a pixel/grid dissolve on viewport entry, with a split-text heading and click-to-fullscreen Flip. This website is for a music band called The Sunbirds.","一个随滚动响应的瀑布流画廊（Three.js 加 GSAP），每张图进入视口时从像素网格溶解中显影，带拆字标题和点击全屏 Flip。网站是给乐队 The Sunbir 的。","prototype","huashu-white-gallery","hard","Three.js + GSAP gallery","c286c1257215299e6820942ed50e45cc152ca0415cab9fec8f6fded59bb03902","2026-08-30","amr","","",""
"Q061","en","Design a social media post for Kiwis Autos. To promote their european car specialist capabilities.","为 Kiwis Autos 设计一张社交媒体帖子图，宣传他们的欧洲车专修能力。","image","image-promotion-poster","easy","","fc750000a45990117cee159aa1c287ab1f0f1c1773a097742be30f37f9768303","2026-08-26","byok-opencode","","",""
"Q062","en","A logo for an Affiliate Marketing program Software called ""AffiliateRail"". It enables SaaS founders to run their own affiliate program.","给一个叫「AffiliateRail」的联盟营销软件做 logo。它让 SaaS 创始人运营自己的联盟计划。","image","","easy","","a1d9be04-1d80-4d0d-98f4-6b6231db20c2","2026-08-20","codex","","",""
"Q063","en","i want to make landing page for my website my website name is recover ai","我想给我的网站做落地页，网站名叫 recover ai","prototype","web-prototype","easy","","53df25eab92af650a3c19f005619e74fcb2c8bb33b79feba7b5a14b9a943da6b","2026-08-30","amr","","",""
"Q064","en","Create a professional A4 resume in editable vector format. Use real text objects (not flattened images). Use Space Grotesk for headings and Inter for body text. The design should match a modern AAA game industry portfolio with a black, white and red color palette. The output must be ATS-compatible, print-ready, fully e…","做一份专业的 A4 简历，可编辑矢量格式。用真实文字对象而非扁平图片。标题用 Space Grotesk，正文用 Inter。设计要匹配现代 3A 游戏行业作品集。","document","document-resume","easy","truncated at 320 chars","73d1e83ea4eea0ed55510fd29017044bf12a8d9159812b48f8adb616acb04765","2026-08-20","amr","","",""
"Q065","en","make a website launch post instagram","做一张网站上线的 Instagram 帖子","image","image-instagram-carousel-cover","medium","","d9d823e77f89966aee29ae047302a081dd706b7ae5db97dbb2fd7237386cb1b5","2026-08-31","hermes","","",""
"Q066","en","Design a modern chat itnerface! imagine Codex X Gemini","设计一个现代聊天界面！想象 Codex 乘以 Gemini。","prototype","","easy","","ba0fbfd039516bbdffd6e0e7c1582fabdb481ecddcb6fb302daf71924d9417e9","2026-08-26","byok-opencode","","",""
"Q067","en","Prototype me a cool website","给我原型一个酷的网站","prototype","web-prototype","easy","","9c8c37fefeaac99238b657a019647edd7d2ef480068cb4366defd4a8874a734f","2026-08-22","deepseek-harness","","",""
"Q068","en","Create ONE single-page landing page prototype for FlixHunt - What to Watch - a dark-theme streaming guide. Single page, streaming service cards (Netflix, Prime, Disney+, Apple TV+, Stan), hero with tagline What to Watch Tonight, search bar, genre chips. Keep it small: one page, dark theme, streaming cards, no multi-art…","为 FlixHunt（今晚看什么）做一个单页落地页原型，深色主题流媒体指南。单页，流媒体服务卡片（Netflix、Prime、Disney+、Apple TV+、Stan），hero 带标语。","prototype","qiaomu-landing","easy","truncated at 320 chars","84cddb04-54b0-45bb-8b7f-c7174645c2d5","2026-08-26","hermes","","",""
"Q069","en","Design and build a production-quality SaaS analytics dashboard for a finance team, with real interaction states, refined typography, and a distinctive visual direction.","为财务团队设计并构建一个生产级 SaaS 分析仪表盘，有真实交互状态、精致排版和独特的视觉方向。","prototype","impeccable-insight-dashboard","medium","trailing clone URL stripped","b8448c7af2177781ac4e78da94a8d20661ed94936cfc674a3e7db5685d1225fc","2026-08-28","hermes","","",""
"Q070","en","Design the wireframing for an app for helping learning english. Main functionality is as follows: * Central main button for recording audio when pressed * After recording, it shows a list of possible word matches to select * When selected it then shows all of: phonetic spelling, definition/meaning, usage examples in ph…","设计一个帮助学英语的 app 线框图。主要功能：中间一个大按钮按下录音；录音后显示可选的候选词列表。","prototype","mobile-app","easy","wireframe; truncated at 320 chars","72be24a8-594f-4ce5-8ead-3d44bd2c9f97","2026-08-13","claude","","",""
"Q071","en","Create a home screen for a sports betting app showing different markets, placeholders to other areas of the app, featured bets","做一个体育博彩 app 的首页，展示不同盘口、通往 app 其他区域的占位、精选投注。","prototype","mobile-app","easy","","e8064bcebcfb6fa04028e149307471b99ab27d27a9d83ae3890a3d357df70edb","2026-08-11","hermes","","",""
"Q072","en","design a macOS app icon - monotone - theme is orca the mammal - generate 5 designs for me to choose from","设计一个 macOS 应用图标，单色，主题是虎鲸，生成 5 个方案让我选。","image","","easy","","fe6fbdff5237925149f45063f2e81121c446829dc0ae3fb03d892471b5775bb0","2026-08-15","deepseek-harness","","",""
"Q073","en","Create 8-10 slides on Photosynthesis for 8th Grade students. the goal of the presentation is to introduce to the process for the first time.","为八年级学生做 8 到 10 页关于光合作用的幻灯片，目标是第一次介绍这个过程。","ppt","slides-style-daisy-days","medium","education deck","bb5c5295040f9eaaf7c01822ee2c2c8b4086216ac2135372a52ad8ade3a420ee","2026-08-17","byok-opencode","","",""
"Q074","en","I want to create a fitness app with a home screen only","我想做一个健身 app，只要首页。","prototype","mobile-app","easy","","fbabc31ee814e368255f37b3eb98b3e75cc718dd32fd28f525db6cdb72896579","2026-08-19","opencode","","",""
"Q075","en","Design modern app icons, assets and social cards for AudiDesk an AI-powered Security & Compliance Assessment Platform","为 AudiDesk（AI 驱动的安全与合规评估平台）设计现代 app 图标、素材和社交卡片。","marketing","","hard","asset set: icons + social cards","b2a6e433-7f36-4608-a70a-979a257ddaa6","2026-08-14","claude","","",""
"Q076","en","Create an animation for mobile app startup/opening","给移动 app 的启动 / 开屏做一个动画","hyperframes","","easy","","e3981926c707f262cf731a6ef4da6a889d285a93ea00ee58af1518dce43b38b3","2026-08-16","antigravity","","",""
