id,lang,query,query_zh,proposed_task_type,proposed_skill,difficulty,note,label_task_type,label_skill,annotator
"Q051","en","Compact landing for a webhook delivery service, narrow column","webhook 投递服务的紧凑落地页，窄版心","prototype","skill-compact-landing","easy","","","",""
"Q052","en","Features overview as an Apple-style bento grid","用苹果风 bento 网格做功能总览","prototype","style-bento-grid","easy","","","",""
"Q053","en","Kids learning app home screen, soft clay look","儿童学习 app 首页，柔软黏土感","prototype","style-claymorphism","easy","","","",""
"Q054","en","Front page for my AI newsletter, bold Businessweek editorial","我的 AI 周刊首页，大胆的商业周刊编辑风","prototype","huashu-editorial-brutalism","easy","","","",""
"Q055","en","Quiet white gallery page for a poster collection","海报收藏的安静白色画廊页","prototype","huashu-white-gallery","easy","","","",""
"Q056","en","Show my fitness app as 5 iPhone screens side by side","把我的健身 app 做成 5 个 iPhone 屏并排","prototype","huashu-ios-tiled-prototype","easy","","","",""
"Q057","en","Hospital admissions dashboard with KPI cards and a patients table","医院住院仪表盘，KPI 卡和病患表","prototype","promax-health-dashboard","easy","","","",""
"Q058","en","Pet care app with daily reminders. Make it cute.","宠物护理 app，带每日提醒，做可爱点","prototype","promax-pet-app","easy","","","",""
"Q059","en","Material 3 ops dashboard with incident timeline","带事件时间线的 Material 3 运维仪表盘","prototype","m3-ops-dashboard","easy","","","",""
"Q060","en","Kanban board for our sprint","我们冲刺用的看板","prototype","kanban-board","easy","existing template","","",""
"Q061","en","A gamified to-do app with XP and streaks","带经验值和连续打卡的游戏化待办 app","prototype","gamified-app","medium","gamified vs m3-habit","","",""
"Q062","en","Design a swiss-style grid homepage for a type foundry","给字体厂商做瑞士风格网格首页","prototype","skill-swiss-design","easy","","","",""
"Q063","en","Dashboard for an e-commerce ops team with recent orders","电商运营团队的仪表盘，带最近订单","prototype","qiaomu-dashboard","easy","","","",""
"Q064","en","Make me a pricing page","给我做个定价页","prototype","web-prototype","easy","generic web default","","",""
"Q065","en","Docs site for our API","我们 API 的文档站","prototype","web-prototype","easy","","","",""
"Q066","en","Company strategy deck for the board, cobalt and swiss","给董事会的公司战略 deck，钴蓝瑞士风","ppt","slides-style-swiss-cobalt","easy","","","",""
"Q067","en","Pitch deck for our seed round","我们种子轮的路演 deck","ppt","slides-style-creative-voltage","medium","could also be html-ppt-pitch-deck","","",""
"Q068","en","Slides for a design review, forest green editorial","设计评审用幻灯片，森林绿编辑风","ppt","slides-style-editorial-forest","easy","","","",""
"Q069","en","Lab meeting slides on our protein folding results","关于蛋白质折叠结果的组会幻灯片","ppt","slides-style-kami-research","easy","","","",""
"Q070","en","Workshop deck for a community garden programme","社区花园项目的工作坊 deck","ppt","slides-style-daisy-days","medium","daisy vs peoples-platform","","",""
"Q071","en","B2B proposal deck for an operating plan","运营计划的 B2B 提案 deck","ppt","slides-style-electric-studio","easy","","","",""
"Q072","en","Fashion brand launch presentation, emerald and Bodoni","时尚品牌发布演示，祖母绿和 Bodoni","ppt","slides-style-emerald-editorial","easy","","","",""
"Q073","en","Consulting readout with calm serif typography","咨询汇报，平静的衬线排版","ppt","slides-style-soft-editorial","easy","","","",""
"Q074","en","Manifesto slides with one red axis","带一条红轴的宣言幻灯片","ppt","slides-style-swiss-red-axis","easy","","","",""
"Q075","en","Technology strategy deck with museum-style diagrams","带博物馆图版式图表的技术战略 deck","ppt","slides-style-takram-soft-tech","easy","","","",""
"Q076","en","Consumer tech launch slides, lavender and lime","消费科技发布幻灯片，薰衣草和青柠","ppt","slides-style-material-expressive","easy","","","",""
"Q077","en","Study notes deck for my thesis defense","我毕业答辩的学习笔记 deck","ppt","slides-style-notebook-tabs","easy","","","",""
"Q078","en","Bauhaus-style slides about urban transit planning","关于城市交通规划的包豪斯风幻灯片","ppt","slides-style-bauhaus-geometry","hard","geometry vs primary overlap","","",""
"Q079","en","Campaign deck for a city council run","竞选市议会的 campaign deck","ppt","slides-style-peoples-platform","easy","","","",""
"Q080","en","Creative brief deck with collage panels","带拼贴面板的创意简报 deck","ppt","slides-style-block-frame","easy","","","",""
"Q081","en","Make a 10 slide presentation about our roadmap","做一个关于我们路线图的 10 页演示","ppt","","easy","no style hint","","",""
"Q082","en","Turn my Q3 numbers into a two-page executive report with charts","把我的 Q3 数据做成带图表的两页高管报告","document","document-data-visualization-report","easy","","","",""
"Q083","en","One-page decision memo: build vs buy for our CRM","一页决策备忘录：CRM 自建还是采购","document","document-decision-memo","easy","","","",""
"Q084","en","Resume for a senior product designer, one page","高级产品设计师的一页简历","document","document-resume","easy","","","",""
"Q085","en","Partner proposal for a 3-month pilot","3 个月试点的合作伙伴提案","document","document-branded-proposal","easy","","","",""
"Q086","en","Branded one-page PDF report on our brand refresh","关于我们品牌焕新的一页品牌 PDF 报告","document","document-branded-pdf-report","easy","","","",""
"Q087","en","Fill this service agreement into a printable PDF","把这份服务协议填成可打印的 PDF","document","document-pdf-workspace","easy","","","",""
"Q088","en","Write up these meeting notes as an editable Word doc","把这些会议记录整理成可编辑的 Word 文档","document","document-docx-workspace","easy","","","",""
"Q089","en","Review my blog post draft and suggest a better version","评审我的博客草稿并给出更好的版本","document","document-writing-quality-review","medium","","","",""
"Q090","en","Poster for our exhibition opening, big type","我们展览开幕的海报，大字","image","image-event-poster","easy","","","",""
"Q091","en","Buy-one-get-one poster for a soda brand","汽水品牌的买一送一海报","image","image-promotion-poster","easy","","","",""
"Q092","en","Instagram carousel cover for a color study series","配色研究系列的 Instagram 轮播封面","image","image-instagram-carousel-cover","easy","","","",""
"Q093","en","Mascot character sheet for a streetwear label","潮牌的吉祥物角色设定图","image","image-brand-character","easy","","","",""
"Q094","en","Fashion editorial collage, cut paper feel","时尚编辑拼贴，剪纸质感","image","image-editorial-collage","easy","","","",""
"Q095","en","Generate a hero image for our landing page","给我们落地页生成一张主视觉图","image","","medium","single image not page","","",""
"Q096","en","Draw a logo for my bakery","给我的面包店画个 logo","image","","medium","logo has no skill","","",""
"Q097","en","A set of 3 social ads for our summer sale","我们夏季促销的 3 张社交广告","marketing","image-promotion-poster","hard","set of assets = marketing","","",""
"Q098","en","Animated product reveal, 8 seconds, frame by frame","产品揭晓动画，8 秒，逐帧","hyperframes","","easy","","","",""
"Q099","en","Make a short looping animation of our logo","做一个我们 logo 的短循环动画","hyperframes","","medium","","","",""
"Q100","en","Can you improve this design? [attachment]","你能改进这个设计吗？[附件]","?","","hard","depends on attachment kind","","",""
